epoch,train_total_loss,train_log_depth_loss,train_gradient_loss,val_abs_rel,val_rmse,val_mae,val_delta1,val_delta2,val_rmse_log,encoder_lr,decoder_lr,bim_condition_lr,optimizer_steps,skipped_steps,epoch_seconds
1,0.12136932024321882,0.11793463494329604,0.006869370658144527,0.06962980379392593,0.276312747512404,0.14302998701661163,0.9427672242683949,0.9825779256957895,0.12875751860860993,4.8776412907378734e-06,4.877641290737889e-05,4.877641290737889e-05,3507,0,760.0585603900254
2,0.09120784418753834,0.08798665713062559,0.0064423740911832015,0.06836577970181575,0.27022065125810535,0.1387074859478842,0.9412611704900922,0.9831821295484617,0.1263497454026197,4.522542485937392e-06,4.522542485937368e-05,4.522542485937368e-05,7014,0,760.0425591659732
3,0.08351364261944165,0.08032586683598732,0.00637555163845438,0.06681542590579012,0.2502512633125975,0.13293607319264314,0.9481987423729272,0.9874546626510129,0.11625059930806572,3.969644305462723e-06,3.9696443054627126e-05,3.9696443054627126e-05,10520,1,761.9559929820243
4,0.07232564701593144,0.06918820693773405,0.00627488026602076,0.06021892133299817,0.2422544443563135,0.11956624291360457,0.9526659765373725,0.9882718952085008,0.11394539213264973,3.2731814298383027e-06,3.2731814298383004e-05,3.2731814298383004e-05,14025,3,762.4888950129971
5,0.06379001822524993,0.060690515715154505,0.006199004941938784,0.06386388599814939,0.24864933952448087,0.12922894396651405,0.9520076968207984,0.9870596263116377,0.11550389284838161,2.5011197578231297e-06,2.5011197578231297e-05,2.5011197578231297e-05,17530,5,768.3307157000527
6,0.05658627675391248,0.05350059087622077,0.006171371883136492,0.05698490555354914,0.2523866814546711,0.1137301039468082,0.9549070077101939,0.9872416065424249,0.11411885379476103,1.7287355692024987e-06,1.7287355692024922e-05,1.7287355692024922e-05,21036,6,794.5137334670871
7,0.05007454162070725,0.047013194576589985,0.006122694179998958,0.05837337694504508,0.23382110107370035,0.11201899808897121,0.9555553590400594,0.9884589917235784,0.11026737800934534,1.031986691510298e-06,1.0319866915102915e-05,1.0319866915102915e-05,24541,8,773.6936897009145
8,0.044550629727607205,0.04151823491274537,0.0060647896959241995,0.05562534695091869,0.23384988703751702,0.10735650826005687,0.9557948543081733,0.9881540096607724,0.10981252310886355,4.787746797134039e-07,4.787746797134005e-06,4.787746797134005e-06,28046,10,771.0983338342048
9,0.04075457280482866,0.03773612229390694,0.006036901044950546,0.05413293181065094,0.23183662201721128,0.10524013224985414,0.9560528717859924,0.9884447006563182,0.10873068974959645,1.231905409503487e-07,1.2319054095034733e-06,1.2319054095034733e-06,31551,12,777.4272610258777
10,0.03888727811655317,0.035876118630339744,0.006022318935741,0.054159495546280606,0.23146876896567142,0.10556308973682323,0.9560156876073433,0.9884704684234223,0.10869696850436925,1.6952153733540345e-12,1.6952153733540212e-11,1.6952153733540212e-11,35057,13,770.0506637939252
