epoch,train_total,train_depth,train_scale_teacher,train_low1_teacher,train_low2_teacher,train_zero_mean,train_equivariance,train_predicted_residual_mean,train_da3_scale_perturbation_fraction,train_da3_scale_perturbation_abs_log_q,train_da3_scale_perturbation_mean_log_q,train_bim_condition_dropout_fraction,val_abs_rel,val_rmse,val_delta1,val_scale_abs_rel,val_low1_abs_rel,val_scale_log_mae,val_combined_residual_mean_abs,optimizer_steps,skipped_steps,epoch_seconds
1,0.1537529646211261,0.09851154771724294,0.05703908192970571,0.0,0.05323957635676281,0.0010208778983007759,0.0,0.0010208778983007759,1.0,0.09975956452188825,0.00022073828457061496,0.0,0.07580870225730554,0.671812560675438,0.9329229018783554,0.07642285250612013,0.07642285250612013,0.03515220424121394,0.0020922332825797437,439,0,351.09802746679634
2,0.12762135908345512,0.0824888963353248,0.037663640541402366,0.0,0.05167277188665094,0.004642564271582986,0.0,0.004642564271582986,1.0,0.09885731507370304,-0.0014848427530123093,0.0,0.07083619946705544,0.6534002537336295,0.9346352915522914,0.07288842745283237,0.07288842745283237,0.029419850233220815,0.004605575599225441,878,0,351.97056041006
3,0.12084770458551199,0.07814205741760556,0.03208569765464212,0.0,0.05229309405926966,0.005162512135444368,0.0,0.005162512135444368,1.0,0.10012348440499137,0.0018477203013376464,0.0,0.08057674850312861,0.6927564299527328,0.9340545910011856,0.08145036862412579,0.08145036862412579,0.044081110056897195,0.004777114084071521,1317,0,352.05819217674434
4,0.11563667161969274,0.07495636034372256,0.030148541711387235,0.0,0.050172492574328736,0.00519794177843055,0.0,0.00519794177843055,1.0,0.10031334995309393,-0.0003197584107982529,0.0,0.0699968507886428,0.650613066615353,0.9361601314622445,0.07721600769623153,0.07721600769623153,0.03686767595667599,0.012099968304890352,1756,0,351.4602242829278
5,0.11184980709071729,0.07257580992893761,0.028288657966141415,0.0,0.04912579344815048,0.005667714113033554,0.0,0.005667714113033554,1.0,0.10080288460150656,0.0007534944672325835,0.0,0.07150367722402953,0.6530464816424478,0.9362537772544021,0.07288439744577244,0.07288439744577244,0.02990707286699796,0.0072257605525559215,2195,0,352.66849281452596
6,0.10637020433259968,0.06858769097379783,0.027199659123242154,0.0,0.047245192619694606,0.005600874054948625,0.0,0.005600874054948625,1.0,0.09949858056101629,0.00140250869658077,0.0,0.06625896662316319,0.6403056289438054,0.9382568772342534,0.07190723040620023,0.07190723040620023,0.026904767731541976,0.005731359061661738,2634,0,353.57261607516557
7,0.10204122067709107,0.06562746378220724,0.025407993371473696,0.0,0.04624350178913472,0.005880093648891435,0.0,0.005880093648891435,1.0,0.1001669311620634,-0.00012692911541105353,0.0,0.06712340670086069,0.6412682069606076,0.9380116207615914,0.07245649798986108,0.07245649798986108,0.029184746498924507,0.008471687327946124,3073,0,353.30067542754114
8,0.09666216916245814,0.06260013695847705,0.021771092562142703,0.0,0.04525106371456361,0.005509541575602389,0.0,0.005509541575602389,1.0,0.09993685388371654,0.0012337870834301253,0.0,0.06633649029140674,0.640425475983513,0.9389299847888356,0.07203123912747536,0.07203123912747536,0.027930916506336147,0.0073375912323077495,3512,0,353.679968861863
9,0.09483409381917313,0.06167513318864562,0.020375807923877526,0.0,0.04489258786814029,0.005247627271043976,0.0,0.005247627271043976,1.0,0.10018827149178833,0.000758001255163688,0.0,0.06626448772212563,0.6421312586741978,0.9382311137457543,0.07169724020611344,0.07169724020611344,0.026912681886161416,0.006207853362233658,3951,0,353.4979848135263
10,0.09255249110431422,0.0606813413904915,0.018570849218246165,0.0,0.0441585282058454,0.005064607409546884,0.0,0.005064607409546884,1.0,0.09967642403218345,-0.0014827573832381607,0.0,0.06651916804064315,0.6419902841833797,0.9364092961592352,0.07225060388459305,0.07225060388459305,0.02773467406938916,0.006628969215963788,4390,0,353.6463382234797
11,0.09122538200648118,0.05933494025578906,0.019533078556809972,0.0,0.043244865338112976,0.005014699006903402,0.0,0.005014699006903402,1.0,0.10159146019486849,-0.0011466031324164066,0.0,0.06599093211885253,0.6404293112683379,0.9379481535671139,0.07166232889588485,0.07166232889588485,0.026581916091624073,0.006593715119268439,4829,0,353.93748618941754
12,0.09281390236427128,0.05989813403408662,0.020591817843085572,0.0,0.044204172262636635,0.005177732206268355,0.0,0.005177732206268355,1.0,0.09983451521608243,-0.001134352723396337,0.0,0.06619348638435672,0.6404792705767445,0.937756371077752,0.07178371601423668,0.07178371601423668,0.026677187725353834,0.006603705213634544,5268,0,353.653352891095
